carat,cut,color,clarity,depth,table,price
1.34,Ideal,I,VS1,62.2,57.0,7016
0.72,Very Good,D,SI2,62.3,59.0,2612
0.57,Very Good,D,SI2,62.9,57.0,1413
0.3,Ideal,G,IF,62.0,55.0,863
0.41,Good,E,SI1,63.6,56.0,904
0.31,Ideal,D,SI1,61.8,57.0,571
0.8,Ideal,G,SI1,62.5,57.0,2870
0.42,Very Good,F,SI1,62.3,56.0,788
1.5,Good,H,VS2,63.9,60.0,10886
0.51,Very Good,E,VVS2,62.1,55.0,2056
0.76,Ideal,I,VVS2,61.8,56.0,2788
2.07,Very Good,I,SI1,63.1,59.0,15751
1.5,Ideal,G,SI1,62.0,56.0,11180
0.41,Premium,E,VS1,62.0,60.0,1079
1.1,Ideal,E,SI2,61.6,56.0,5359
1.01,Good,E,SI1,63.8,60.0,4179
0.51,Good,D,SI2,63.8,56.0,1180
0.44,Premium,G,VVS2,60.9,57.0,1155
1.03,Ideal,G,SI2,62.3,59.0,4928
0.5,Good,D,VS2,64.0,56.0,1589
1.51,Ideal,F,VS2,63.0,55.0,14414
1.22,Premium,G,VS2,61.8,58.0,8213
0.3,Good,E,SI1,63.2,56.0,526
0.38,Good,F,VS2,62.4,54.3,899
0.42,Ideal,H,SI2,61.4,56.0,625
0.32,Ideal,D,VS2,61.0,56.0,758
0.3,Very Good,F,VVS2,62.4,57.0,694
2.01,Very Good,I,SI2,60.9,60.0,13488
0.55,Premium,G,SI2,60.3,58.0,1186
0.52,Good,D,SI2,63.7,55.0,1293
0.32,Premium,H,VVS1,60.9,58.0,730
0.7,Fair,G,I1,62.5,59.0,1069
2.02,Premium,E,SI2,61.0,59.0,18117
0.43,Premium,F,VS2,59.8,58.0,968
0.32,Premium,G,SI1,62.6,58.0,612
0.71,Good,I,SI1,60.9,64.0,2087
1.15,Ideal,G,SI2,62.4,56.0,4877
0.71,Good,D,VS2,63.6,54.0,4289
0.31,Very Good,F,SI1,62.9,57.0,516
0.25,Very Good,F,VS1,59.7,57.0,436
1.0,Premium,J,I1,58.3,58.0,1681
0.72,Very Good,G,SI1,62.8,60.0,2396
1.0,Premium,E,SI2,62.7,58.0,4579
0.7,Ideal,E,VS1,61.2,56.0,4000
2.2,Ideal,G,SI2,59.9,57.0,14691
0.74,Very Good,H,SI2,63.1,56.0,2264
0.33,Ideal,F,IF,60.8,55.0,1240
0.7,Very Good,I,VS2,60.7,59.0,2025
1.01,Fair,H,VS2,64.5,60.0,4751
0.73,Ideal,F,VS2,62.7,53.0,2762
0.32,Ideal,E,VVS2,61.5,57.0,842
0.32,Very Good,G,VS1,62.8,59.0,645
1.12,Premium,H,SI2,61.4,59.0,3889
0.8,Very Good,D,VS2,60.6,63.0,3419
0.5,Very Good,G,VVS1,63.3,53.0,1885
0.71,Premium,E,SI2,61.1,58.0,2306
0.7,Very Good,E,VS1,63.4,56.0,3107
1.31,Premium,H,SI2,61.4,60.0,6236
1.62,Premium,F,SI1,62.6,58.0,13177
0.54,Ideal,H,VVS1,60.3,56.0,1846
1.7,Premium,D,SI1,61.9,59.0,15238
0.34,Ideal,G,VVS2,61.1,57.0,995
0.4,Ideal,E,VS2,61.1,56.0,975
1.03,Premium,F,SI2,61.4,57.0,4586
1.6,Premium,E,SI2,59.4,59.0,10483
1.21,Premium,J,VS1,61.0,60.0,4675
0.4,Good,F,VVS1,60.6,62.0,1080
0.3,Ideal,E,VVS2,61.4,55.0,1125
1.04,Ideal,H,SI1,59.7,60.0,4812
0.76,Very Good,E,SI2,62.0,54.0,2530
0.4,Very Good,F,VVS1,62.3,60.0,1111
1.22,Ideal,I,SI2,61.8,57.0,4612
1.17,Ideal,H,SI1,61.1,57.0,6368
0.54,Ideal,E,VS2,61.9,57.0,1754
0.72,Ideal,F,SI2,62.0,55.0,2224
1.01,Very Good,E,VS2,64.0,56.0,6771
1.0,Premium,E,SI2,61.0,59.0,3450
1.24,Ideal,D,VS1,61.6,55.0,12417
2.14,Very Good,D,SI2,60.3,60.0,18526
1.3,Premium,F,VS2,60.4,59.0,10090
0.33,Ideal,D,VS2,61.9,56.0,1002
1.52,Premium,G,SI2,60.9,57.0,8299
0.41,Very Good,D,VS2,62.3,58.0,932
0.4,Very Good,D,SI1,62.5,61.0,720
0.3,Ideal,D,VS1,62.0,57.0,720
0.3,Very Good,F,VVS2,62.4,58.0,737
0.23,Ideal,F,VVS2,60.9,57.0,530
0.77,Very Good,I,VS2,63.1,58.0,2391
1.16,Ideal,G,VS1,61.5,55.0,9248
0.71,Ideal,G,SI1,62.2,56.0,2386
1.03,Ideal,H,SI2,60.5,57.0,3692
2.02,Premium,F,SI2,61.0,59.0,11962
0.43,Premium,G,VVS1,61.3,57.0,1264
0.27,Ideal,E,VVS2,60.5,57.0,620
0.24,Very Good,F,VVS2,62.8,58.0,552
0.5,Good,F,SI1,63.1,61.0,1043
0.53,Ideal,G,VVS2,61.5,56.0,1881
0.59,Ideal,F,VVS2,62.0,55.0,2611
1.83,Premium,E,SI2,62.0,57.0,12492
2.01,Premium,H,SI1,61.4,56.0,18295
1.0,Premium,E,SI1,61.9,60.0,5445
0.23,Very Good,F,VVS2,61.5,58.0,530
1.01,Good,I,SI1,58.4,64.0,3394
0.32,Very Good,I,SI2,63.4,56.0,480
0.52,Ideal,I,SI1,61.8,54.0,1094
2.32,Ideal,I,SI2,62.0,57.0,17676
0.42,Very Good,D,SI1,63.0,55.0,756
2.34,Very Good,H,I1,62.4,55.4,11119
1.5,Very Good,D,SI1,62.8,58.0,12342
1.01,Very Good,G,VVS2,63.2,59.0,7267
2.01,Premium,G,SI1,62.5,58.0,17334
1.16,Premium,I,SI1,61.5,57.0,5002
0.56,Very Good,D,SI1,62.2,63.0,1378
1.48,Very Good,H,SI2,62.3,58.0,7244
2.02,Premium,H,VS2,61.3,60.0,15987
0.32,Premium,H,VS1,61.7,58.0,720
0.73,Premium,E,SI1,61.3,58.0,2821
0.41,Ideal,G,VVS1,61.6,57.0,1055
0.9,Very Good,E,SI2,63.2,59.0,3526
1.0,Good,D,SI2,63.5,59.0,4218
1.5,Ideal,J,VVS1,62.2,59.0,9814
0.31,Premium,D,VS2,61.7,59.0,734
1.17,Premium,H,I1,62.8,58.0,3669
2.0,Good,I,VS2,63.6,60.0,16439
0.51,Ideal,F,VVS2,60.4,56.0,2054
1.51,Ideal,F,VS1,62.5,57.0,15378
1.5,Premium,G,VS1,59.2,59.0,13720
1.91,Premium,I,SI1,60.9,53.0,13367
1.07,Premium,D,IF,60.9,58.0,18279
0.41,Ideal,G,IF,62.3,55.0,1431
0.4,Ideal,H,VVS1,62.2,55.0,1017
0.7,Ideal,H,VS1,61.0,56.0,3185
1.02,Ideal,D,VVS2,62.2,59.0,11573
0.46,Ideal,F,SI1,62.5,56.0,953
1.26,Premium,I,SI1,60.9,58.0,5504
1.21,Ideal,D,VS1,60.1,60.0,11019
0.52,Very Good,F,VS2,60.0,61.5,1680
0.4,Very Good,G,IF,61.0,59.0,1154
0.37,Premium,F,SI1,62.4,59.0,791
2.03,Premium,D,SI2,61.7,58.0,13229
0.32,Ideal,G,VVS1,61.1,55.0,796
0.3,Premium,H,SI1,60.8,61.0,540
0.91,Premium,E,SI1,62.2,58.0,3665
1.5,Very Good,J,VVS2,62.2,57.0,9306
0.3,Ideal,E,VVS2,61.7,53.8,779
1.31,Ideal,H,SI2,62.2,57.0,6484
1.07,Ideal,G,VS1,62.1,57.0,7858
0.54,Premium,H,VVS2,60.6,60.0,1662
0.65,Fair,F,VS2,58.3,64.0,1881
1.25,Premium,H,SI2,62.2,60.0,6230
1.0,Premium,F,VS2,60.5,59.0,6640
0.7,Premium,J,VVS2,60.6,58.0,1764
0.7,Very Good,I,SI1,61.1,56.0,2021
1.14,Premium,D,SI2,62.4,58.0,4513
0.74,Ideal,H,IF,60.9,57.0,3760
0.57,Ideal,E,VS2,60.4,57.0,1728
1.23,Premium,I,VS2,61.7,58.0,5622
0.57,Very Good,G,VS2,59.9,54.6,1633
0.42,Ideal,E,VVS2,61.8,56.0,1216
0.7,Ideal,F,SI1,62.6,55.0,2662
1.0,Premium,E,SI2,62.0,59.0,4077
0.74,Fair,H,VS1,66.3,63.0,2193
1.27,Premium,H,VS2,60.0,61.0,7503
0.37,Ideal,D,SI1,61.9,54.0,643
0.53,Ideal,F,VS2,61.5,55.0,1753
0.46,Good,E,VS2,60.9,62.0,1267
0.53,Ideal,G,VVS2,62.6,56.0,1914
0.43,Very Good,E,SI1,63.4,56.0,894
0.91,Premium,D,VS2,62.7,59.0,4637
0.7,Ideal,H,SI1,61.8,53.0,2499
0.83,Ideal,J,VS2,61.5,57.0,2241
0.4,Very Good,E,VS1,63.3,55.0,909
0.41,Premium,E,VS1,60.7,58.0,1079
0.75,Ideal,F,SI1,61.8,56.0,3336
2.01,Premium,F,SI2,61.3,58.0,14067
0.8,Ideal,G,SI2,62.2,57.0,2657
0.59,Ideal,F,VS1,61.1,56.0,2140
0.31,Premium,D,SI1,61.2,60.0,732
0.32,Ideal,G,VVS2,62.0,55.0,936
0.38,Premium,E,VS2,62.2,59.0,866
0.32,Very Good,J,SI1,63.2,56.0,480
0.59,Premium,I,IF,61.2,58.0,1866
0.56,Very Good,E,VVS2,62.6,57.0,2100
0.54,Ideal,E,VS2,61.9,55.0,1754
0.54,Ideal,G,VVS2,61.8,55.0,1829
0.71,Fair,H,SI1,65.9,57.0,1828
1.09,Very Good,J,VVS1,63.9,56.0,5588
2.2,Ideal,H,SI2,60.0,58.0,16530
1.52,Very Good,H,VS2,59.7,55.0,11681
1.02,Very Good,H,VS2,63.3,55.0,4604
0.43,Very Good,F,VS2,61.1,57.0,905
1.5,Ideal,F,SI1,60.9,56.0,8770
0.41,Very Good,G,VVS1,60.0,59.0,1151
0.41,Ideal,H,SI1,61.2,57.0,876
0.74,Good,F,VVS1,58.4,60.0,4336
0.8,Very Good,J,VS1,63.4,56.0,2321
0.28,Premium,H,VVS1,59.9,62.0,646
1.01,Premium,G,IF,63.0,60.0,8120
1.0,Very Good,H,SI1,61.9,58.0,4953
0.33,Ideal,I,SI1,61.3,56.0,463
1.2,Premium,F,I1,62.9,58.0,2360
1.0,Very Good,D,SI2,61.6,58.0,4543
0.33,Ideal,H,VS2,61.2,55.0,521
1.51,Ideal,H,VS2,62.5,55.0,10763
0.71,Good,D,SI2,63.3,55.0,2436
0.7,Very Good,F,VS1,60.0,57.0,2767
0.23,Very Good,E,VVS2,61.4,60.0,505
1.18,Ideal,G,VVS1,61.1,57.0,9260
0.4,Ideal,F,VS2,62.0,59.0,1059
1.03,Good,J,SI1,63.6,57.0,2855
0.37,Ideal,F,VS1,61.1,57.0,1041
0.33,Very Good,H,VVS2,61.6,56.0,614
0.7,Fair,F,I1,66.2,59.0,1087
0.3,Premium,F,VVS2,61.6,58.0,737
1.31,Premium,E,SI1,62.4,58.0,8767
0.52,Ideal,E,VS1,62.0,53.0,1893
0.9,Good,I,VS2,63.7,61.0,3303
1.13,Premium,D,VS2,61.7,58.0,7751
2.02,Very Good,J,VS2,59.3,60.0,13693
0.37,Premium,G,VS1,59.5,58.0,746
0.3,Ideal,E,VVS2,61.4,56.0,949
0.31,Ideal,D,VVS2,60.9,57.0,997
1.7,Ideal,I,VS1,61.9,55.0,12996
1.01,Very Good,G,SI1,62.9,54.0,4588
1.07,Ideal,J,SI1,62.0,56.0,4235
0.4,Very Good,G,IF,61.2,57.0,1220
1.01,Premium,E,SI2,60.0,61.0,4921
0.38,Ideal,E,SI1,61.7,58.0,658
0.51,Ideal,G,VS1,61.9,56.0,1691
0.7,Very Good,G,VS2,63.5,57.0,2331
0.31,Very Good,G,VVS2,63.4,59.0,907
0.91,Premium,H,VS2,62.8,58.0,4128
1.21,Premium,J,SI1,59.7,60.0,4492
0.7,Fair,E,SI1,64.4,53.0,2697
1.14,Premium,D,SI1,60.5,59.0,5809
0.9,Premium,H,SI1,60.0,56.0,3629
0.86,Very Good,D,VS2,62.8,55.0,4191
1.0,Fair,H,SI2,66.1,56.0,2856
0.32,Premium,H,SI1,62.3,60.0,591
0.41,Very Good,E,VS1,62.8,60.0,834
2.01,Premium,H,SI1,60.0,60.0,12271
1.01,Premium,G,SI2,59.5,55.0,4355
1.03,Very Good,H,SI1,60.8,60.0,4836
0.6,Very Good,F,SI1,60.3,59.0,1670
0.42,Premium,F,VVS2,59.6,59.0,1142
0.61,Ideal,E,VS2,61.3,55.0,2373
1.12,Ideal,H,VVS2,62.3,53.0,7091
1.52,Ideal,D,VS2,62.1,58.0,15922
0.32,Premium,G,SI2,62.7,58.0,540
0.39,Ideal,F,VS1,61.3,56.0,902
0.56,Very Good,G,SI1,61.8,55.0,1361
0.3,Good,J,VS2,64.1,58.0,441
0.59,Very Good,H,SI2,61.2,60.0,1254
1.0,Very Good,F,SI2,62.9,59.0,4037
0.32,Premium,J,VS1,61.9,58.0,540
1.0,Premium,H,I1,61.3,60.0,2818
0.43,Premium,D,SI1,61.0,57.0,993
0.35,Very Good,E,VS1,59.7,59.0,790
1.11,Very Good,E,SI2,61.7,63.0,4102
1.03,Ideal,G,VVS2,61.2,57.0,8483
0.31,Ideal,E,VVS1,61.3,56.0,1105
0.75,Ideal,E,VS1,62.0,55.0,3462
0.75,Premium,H,SI2,63.0,58.0,2295
0.71,Ideal,D,SI1,60.8,56.0,2863
0.32,Ideal,D,SI1,62.7,54.0,756
0.51,Premium,G,VS2,61.2,60.0,1546
1.3,Ideal,G,VVS2,62.0,57.0,11175
1.69,Very Good,J,I1,60.2,61.0,5182
0.52,Ideal,D,VS2,61.8,57.0,1919
0.31,Ideal,G,VVS2,62.1,54.0,677
0.31,Ideal,E,VVS1,61.5,56.0,853
0.32,Premium,H,SI1,62.2,56.0,576
0.44,Premium,H,VS2,61.3,58.0,1040
0.74,Very Good,D,SI1,61.5,59.0,3138
0.74,Ideal,G,VS1,61.8,55.0,2960
1.03,Ideal,G,VVS1,61.5,57.0,9691
1.23,Ideal,G,VVS2,62.2,55.0,10317
2.21,Ideal,G,SI2,60.2,60.0,18128
1.03,Very Good,G,I1,60.8,57.0,3018
1.1,Very Good,H,SI1,63.0,58.0,4276
0.31,Premium,D,VS2,61.2,59.0,942
1.0,Good,H,SI1,61.6,61.0,4405
0.9,Very Good,H,SI2,59.5,63.0,3105
1.0,Ideal,F,SI1,62.7,57.0,5221
1.35,Very Good,E,SI1,62.7,57.0,6860
0.78,Ideal,E,VS2,61.4,56.0,3582
0.5,Ideal,F,SI1,61.0,56.0,1286
0.56,Very Good,E,VS1,61.9,57.0,2037
2.52,Ideal,I,SI1,61.5,56.0,17231
0.5,Good,G,SI1,62.5,64.0,1197
1.0,Premium,F,VS1,62.6,58.0,7114
0.58,Good,G,SI1,63.2,56.0,1388
1.0,Premium,G,VS1,58.6,61.0,6989
0.3,Premium,D,SI1,61.6,58.0,709
0.42,Ideal,G,SI1,62.5,56.0,945
0.3,Ideal,F,VVS1,61.4,56.0,1041
0.35,Ideal,E,IF,62.2,56.0,1197
0.33,Very Good,G,VS1,62.8,58.0,666
1.21,Good,E,I1,57.2,62.0,3144
0.38,Ideal,G,SI1,61.0,57.0,629
0.42,Ideal,E,VVS1,62.0,56.0,1400
0.72,Ideal,I,VVS1,61.4,57.0,2642
0.3,Very Good,F,SI1,63.5,57.0,641
0.32,Ideal,G,IF,61.6,55.0,918
0.72,Very Good,E,SI2,61.0,59.0,3084
1.25,Ideal,I,SI2,62.0,57.0,5355
1.12,Premium,G,SI1,59.5,62.0,5181
0.4,Premium,F,VS1,60.4,59.0,1050
1.04,Ideal,I,VS2,61.8,55.0,5242
0.5,Very Good,G,VVS2,63.4,57.0,1806
0.9,Very Good,G,SI2,62.4,55.0,3539
1.0,Good,E,SI2,63.5,54.0,4400
1.24,Very Good,F,VVS1,62.7,61.0,11716
0.51,Very Good,F,VVS2,60.8,56.0,2041
0.91,Ideal,D,SI1,60.6,56.0,5717
1.54,Very Good,J,SI1,61.2,59.0,7453
0.26,Good,D,VVS2,63.6,56.0,724
0.51,Very Good,D,VS1,61.0,57.0,1756
1.32,Premium,I,SI1,62.2,58.0,6283
0.9,Good,F,VS2,63.3,57.0,4432
1.0,Premium,J,SI1,62.7,57.0,3416
0.39,Fair,G,IF,57.1,61.0,1127
1.37,Very Good,I,SI2,63.0,57.0,5584
0.71,Very Good,H,IF,60.2,61.0,3444
1.22,Very Good,G,SI2,59.2,61.0,6531
0.32,Ideal,F,VS2,61.6,55.0,828
2.04,Premium,I,VS2,62.5,58.0,17028
0.65,Very Good,D,VVS2,59.9,58.0,3056
0.32,Ideal,E,VVS1,61.7,56.0,954
1.05,Ideal,I,SI1,62.6,56.0,4466
0.7,Good,E,SI2,63.5,56.0,2453
1.21,Premium,F,SI2,59.0,60.0,5982
2.14,Premium,I,SI1,61.3,61.0,15913
0.54,Premium,E,VS2,59.0,60.0,1687
0.7,Ideal,F,SI1,61.8,55.0,2401
0.81,Ideal,H,SI1,61.4,56.0,3446
2.02,Very Good,J,SI2,62.4,55.0,11757
1.01,Very Good,I,SI1,64.4,54.0,4805
0.33,Ideal,E,VS1,60.6,57.0,686
1.0,Very Good,E,VS2,62.8,60.0,6600
0.61,Very Good,F,VS2,61.8,56.0,1989
0.29,Very Good,F,VVS2,62.7,58.0,664
1.31,Premium,H,SI2,60.0,57.0,6089
1.0,Good,G,VS1,63.9,55.0,5920
1.01,Ideal,F,VS1,62.5,54.0,7465
0.57,Very Good,E,SI1,62.1,58.0,1397
0.36,Premium,D,VS2,61.0,58.0,852
0.82,Ideal,G,VVS2,62.1,56.0,4130
0.42,Premium,D,VS1,60.8,60.0,1179
0.71,Ideal,D,VS2,62.7,57.0,3212
0.41,Very Good,D,SI1,63.2,58.0,947
1.0,Ideal,J,VS2,62.4,54.0,4539
0.9,Premium,H,VS2,60.0,59.0,3629
1.51,Ideal,J,VS1,61.3,61.0,8298
1.0,Good,J,SI1,61.7,62.0,3690
0.4,Ideal,D,SI2,61.3,56.0,622
0.52,Very Good,E,VS1,62.6,56.0,1822
0.41,Ideal,D,VS2,62.8,55.0,1076
1.01,Very Good,H,SI1,61.8,60.0,4855
1.73,Premium,F,SI2,62.4,60.0,9494
1.16,Fair,G,SI2,60.1,60.0,4307
0.5,Very Good,E,VS2,61.3,58.0,1624
0.59,Ideal,I,SI2,62.8,57.0,1202
0.54,Very Good,G,VS1,61.6,54.0,1665
0.32,Premium,D,VVS2,61.5,60.0,990
0.56,Ideal,F,VVS2,61.9,56.0,2298
0.5,Premium,F,VVS2,62.7,56.0,1987
1.5,Premium,G,SI2,58.3,61.0,6720
1.01,Ideal,E,I1,62.0,57.0,3450
0.36,Ideal,D,VVS2,61.9,53.0,957
0.41,Ideal,E,SI2,61.9,57.0,876
1.01,Fair,H,VS1,66.1,55.0,4044
0.41,Ideal,F,VS1,62.1,56.0,1007
0.46,Ideal,H,VS1,62.3,53.0,983
0.53,Very Good,F,SI1,61.6,57.0,1359
1.21,Ideal,I,SI1,60.6,55.0,5556
0.3,Ideal,D,VS1,60.8,56.0,885
2.0,Fair,I,SI2,69.1,56.0,8736
1.02,Ideal,F,SI2,61.8,57.0,4746
0.91,Premium,D,SI2,61.1,60.0,4051
0.3,Very Good,H,SI1,62.9,58.0,432
1.15,Very Good,H,SI2,63.0,54.0,4483
0.5,Premium,G,VS1,62.5,58.0,1746
0.7,Ideal,H,SI2,60.6,54.0,1715
1.43,Premium,F,SI1,61.5,58.0,8809
0.72,Very Good,E,VVS1,61.2,58.0,3903
0.52,Ideal,G,VVS2,61.7,55.0,2238
1.34,Ideal,H,VS1,61.6,57.0,8780
0.52,Ideal,E,SI1,62.1,54.0,1341
1.57,Ideal,J,VS2,62.3,54.0,8363
0.31,Very Good,H,VVS2,61.4,58.0,625
1.02,Very Good,E,VS2,59.1,60.0,6762
0.27,Ideal,F,IF,63.0,55.0,760
0.31,Ideal,G,VVS2,61.8,56.0,707
1.71,Ideal,I,VVS2,61.9,57.0,13660
1.01,Very Good,I,VS2,62.9,56.0,5067
0.3,Ideal,E,VS1,60.0,56.0,663
0.37,Ideal,F,VVS2,61.6,57.0,920
1.21,Ideal,G,VS2,61.9,55.0,7996
0.55,Very Good,D,SI1,61.6,56.0,1580
0.3,Very Good,I,SI1,61.6,62.0,394
0.65,Ideal,J,SI1,61.4,55.0,1276
0.39,Ideal,F,VVS1,61.8,55.0,1124
0.65,Premium,F,VS2,59.0,62.0,1853
1.53,Ideal,F,SI1,62.5,57.0,11525
0.33,Ideal,H,IF,61.9,55.0,1114
0.3,Very Good,G,VVS1,63.2,55.0,710
0.51,Ideal,E,VVS1,61.3,56.0,3226
1.07,Very Good,F,VVS1,60.2,58.0,9808
0.9,Good,G,VS2,62.0,63.0,3990
0.24,Very Good,E,VVS2,63.1,56.0,552
1.01,Ideal,E,SI2,62.0,56.0,4694
2.38,Premium,J,VS2,62.1,58.0,18559
0.61,Ideal,G,SI2,60.5,56.0,1306
1.0,Premium,E,SI1,60.7,59.0,5544
0.31,Ideal,E,IF,60.9,55.0,987
1.06,Premium,J,SI2,61.3,60.0,3740
0.52,Premium,G,SI1,58.6,62.0,1092
0.54,Ideal,G,VVS1,61.3,56.0,2041
0.3,Premium,G,VS1,61.9,59.0,776
0.76,Ideal,H,VVS1,61.9,54.0,3648
0.29,Very Good,F,VVS2,60.8,63.0,592
1.01,Very Good,E,SI1,60.0,60.0,5556
1.0,Premium,E,SI2,59.9,55.0,3612
1.06,Good,H,SI1,57.2,60.0,4060
2.03,Premium,J,VS1,59.3,60.0,14588
1.04,Ideal,I,SI2,61.9,56.0,3553
0.41,Good,F,VVS2,63.6,56.0,1064
0.8,Premium,F,VS2,62.1,60.0,3502
1.01,Premium,F,VS2,60.4,59.0,6271
1.02,Ideal,E,SI2,62.7,57.0,4585
0.3,Ideal,E,SI1,62.9,56.0,675
1.0,Premium,G,VVS2,61.6,61.0,7762
0.56,Premium,H,VS1,59.8,62.0,1653
0.7,Very Good,F,SI2,63.4,58.0,1883
1.01,Good,E,VS2,63.8,59.0,5430
0.6,Ideal,G,IF,62.2,55.0,2533
0.3,Premium,E,VS2,61.7,58.0,658
1.51,Premium,G,VS2,61.1,58.0,13828
0.31,Ideal,E,VS2,60.9,57.0,680
1.0,Premium,F,SI2,61.6,62.0,4333
1.22,Ideal,H,SI2,61.7,56.0,5703
0.41,Premium,J,VS2,61.9,59.0,611
2.0,Ideal,I,SI1,62.8,56.0,15258
2.0,Fair,H,SI2,55.3,65.0,11202
0.5,Ideal,G,SI2,62.1,55.0,1074
0.5,Very Good,J,SI2,60.7,57.0,947
0.4,Ideal,F,SI1,62.0,54.0,694
0.71,Very Good,I,SI1,62.9,59.0,2008
0.74,Premium,E,SI2,61.3,59.0,2527
0.43,Premium,E,SI2,61.8,60.0,882
0.71,Very Good,G,SI1,58.2,57.0,2039
0.9,Ideal,D,SI1,61.6,55.0,5081
1.0,Ideal,D,SI2,62.3,56.0,4427
1.23,Ideal,H,SI1,61.5,57.0,6681
0.54,Ideal,F,VVS2,62.3,53.7,2334
1.01,Premium,H,SI2,60.8,59.0,3733
1.23,Premium,H,VS1,61.1,58.0,7577
0.54,Ideal,D,SI1,62.6,55.0,1715
1.11,Ideal,J,VS2,61.7,54.0,5051
0.51,Ideal,G,VVS2,62.2,53.4,1859
1.5,Ideal,I,VS2,62.6,57.0,9586
0.26,Ideal,F,VVS2,62.5,56.0,769
1.5,Very Good,F,VS2,63.4,61.0,8736
1.32,Very Good,J,SI1,63.5,57.0,4657
2.01,Fair,D,SI2,66.9,57.0,16086
0.7,Fair,H,SI1,65.3,55.0,1865
1.5,Ideal,F,SI1,62.0,60.0,12466
0.34,Ideal,G,IF,61.9,54.0,974
0.71,Good,I,VS1,63.6,56.0,2306
1.0,Very Good,E,SI1,60.9,59.0,5082
0.48,Good,D,VS1,59.3,58.0,1743
0.31,Very Good,H,VS2,59.7,61.0,489
0.54,Ideal,J,SI1,62.5,54.0,964
1.68,Ideal,G,VS2,62.1,55.0,10838
0.3,Good,E,SI1,63.2,57.0,526
0.31,Ideal,G,VS1,60.6,58.0,587
0.32,Very Good,F,SI1,60.7,62.0,497
0.34,Very Good,G,SI1,61.5,56.0,507
0.33,Premium,G,VS1,62.2,58.0,666
0.32,Ideal,D,SI1,61.2,56.0,714
0.72,Premium,F,VVS2,61.6,59.0,3105
1.16,Ideal,E,SI1,61.9,57.0,6896
0.34,Premium,J,VS1,61.7,58.0,574
1.51,Ideal,F,VVS2,62.6,57.0,16754
0.74,Premium,D,SI1,59.5,60.0,2369
0.52,Ideal,H,IF,59.2,58.0,1967
0.31,Ideal,G,IF,61.7,56.0,988
0.53,Very Good,I,VS2,60.3,60.1,1190
0.34,Very Good,F,VS2,62.9,58.0,686
1.61,Very Good,I,SI2,60.9,63.0,7775
1.51,Good,H,VS2,64.0,59.0,10000
1.01,Premium,E,VS2,62.4,60.0,6488
0.33,Ideal,F,VVS2,61.4,57.0,824
1.0,Good,I,SI1,63.8,58.0,3920
0.3,Ideal,E,VVS2,60.8,56.0,949
0.9,Premium,D,VS2,62.6,59.0,5001
0.35,Very Good,G,VVS2,62.4,56.0,798
0.32,Ideal,E,VVS1,60.7,55.0,860
0.75,Ideal,H,SI1,62.1,57.0,2165
1.02,Premium,G,VVS1,63.0,58.0,7797
0.24,Ideal,F,VS2,61.8,57.0,417
0.5,Premium,D,SI1,62.3,58.0,1654
1.47,Very Good,H,SI2,62.6,58.0,7438
1.02,Ideal,H,SI1,61.8,57.0,4558
0.3,Premium,G,IF,60.0,59.0,956
0.81,Ideal,E,SI2,60.1,57.0,3013
0.33,Very Good,G,VS1,61.2,57.0,643
0.4,Ideal,E,VS2,62.4,55.0,975
0.83,Ideal,H,VS2,61.3,54.0,2975
1.5,Premium,H,I1,61.1,59.0,3599
1.01,Fair,H,VVS2,65.0,55.0,4355
0.44,Good,D,VS2,63.6,56.0,1009
0.84,Ideal,G,SI2,61.0,56.0,2879
1.29,Ideal,H,SI2,61.6,54.0,6300
0.3,Very Good,E,VVS2,63.2,59.0,878
0.82,Ideal,E,VS2,61.9,57.0,3903
0.54,Premium,H,VS1,61.3,58.0,1637
0.36,Premium,G,VS2,62.5,58.0,589
1.04,Premium,G,IF,61.3,58.0,9039
1.31,Ideal,G,VS2,61.9,56.0,8922
0.7,Premium,D,SI2,60.5,58.0,2354
0.24,Very Good,D,VVS2,62.9,59.0,492
0.51,Good,G,VS2,63.5,57.0,1343
0.4,Good,D,SI2,63.1,56.0,622
0.36,Very Good,E,SI1,59.9,60.0,615
0.73,Ideal,E,SI1,60.6,54.0,2803
0.36,Ideal,F,SI1,61.6,56.0,718
0.55,Very Good,E,VS2,58.1,62.0,1589
1.01,Very Good,G,VS1,62.3,60.0,6368
0.39,Ideal,F,VS1,60.9,56.0,894
0.56,Ideal,D,SI2,61.0,57.0,1399
0.28,Very Good,G,VS2,62.0,56.0,427
0.73,Premium,J,VS1,61.3,61.0,2037
0.41,Premium,G,VS2,60.8,59.0,1061
0.51,Ideal,E,SI2,61.0,56.0,1205
2.04,Premium,H,SI1,63.0,58.0,18115
1.0,Premium,G,SI1,60.0,60.0,3568
0.5,Very Good,G,VS1,61.0,58.0,1694
0.56,Ideal,D,VS2,61.6,56.0,1963
2.03,Very Good,I,SI2,62.8,60.0,13063
0.3,Premium,H,VS1,62.1,59.0,630
1.13,Ideal,G,VVS2,61.5,57.0,8889
1.09,Ideal,G,VS1,62.4,57.0,6934
1.72,Premium,H,SI1,61.4,59.0,12880
1.01,Fair,E,SI2,64.6,59.0,3294
0.52,Ideal,D,I1,61.1,57.0,971
0.71,Premium,F,VS1,58.6,62.0,3082
0.41,Ideal,F,VVS1,61.7,57.0,1356
